Trade_Date,Contract_Month,Months_To_Expiry,Spot_Price,Futures_Price,Basis,Basis_Pct,Open_Interest,Volume,Settlement_Price,Implied_Carry_Rate_Annual
2005-01-03,2005-02,1,6.5685,6.5717,0.0031,0.0477,195814,25421,6.609,-0.55
2005-01-03,2005-03,2,6.5685,6.6002,0.0317,0.4819,237465,45731,6.621,-0.5
2005-01-03,2005-04,3,6.5685,6.5511,-0.0175,-0.2658,135230,15172,6.6012,0.51
2005-01-03,2005-07,6,6.5685,6.5953,0.0268,0.4078,177036,10823,6.6686,0.8
2005-01-03,2005-12,12,6.5685,6.5066,-0.0619,-0.9423,93157,11840,6.457,-1.28
2005-01-04,2005-02,1,6.6265,6.5964,-0.0301,-0.4546,193796,12513,6.6372,-0.13
2005-01-04,2005-03,2,6.6265,6.6547,0.0282,0.4255,208833,37556,6.6268,0.56
2005-01-04,2005-04,3,6.6265,6.6641,0.0375,0.5664,87564,18321,6.6819,1.52
2005-01-04,2005-07,6,6.6265,6.5879,-0.0386,-0.5826,185050,24590,6.5994,-1.8
2005-01-04,2005-12,12,6.6265,6.4959,-0.1307,-1.9717,134635,27694,6.514,-1.94
2005-01-05,2005-02,1,6.5788,6.5955,0.0166,0.2528,147488,15295,6.6726,0.71
2005-01-05,2005-03,2,6.5788,6.5982,0.0193,0.2935,129998,26260,6.5952,-0.05
2005-01-05,2005-04,3,6.5788,6.6396,0.0607,0.923,180837,42005,6.6244,3.34
2005-01-05,2005-07,6,6.5788,6.565,-0.0139,-0.2112,226450,41815,6.5878,-0.08
2005-01-05,2005-12,12,6.5788,6.6476,0.0688,1.0452,218418,33141,6.6583,0.91
2005-01-06,2005-02,1,6.623,6.6476,0.0246,0.3712,195866,16787,6.6672,2.27
2005-01-06,2005-03,2,6.623,6.6388,0.0158,0.2392,240502,48714,6.705,1.58
2005-01-06,2005-04,3,6.623,6.6322,0.0092,0.1395,139185,22166,6.6811,-1.15
2005-01-06,2005-07,6,6.623,6.7231,0.1001,1.5114,161329,38037,6.7667,2.74
2005-01-06,2006-01,12,6.623,6.7711,0.1481,2.2362,107505,19778,6.846,2.08
2005-01-07,2005-02,1,6.5424,6.5781,0.0357,0.5454,226644,22009,6.5419,3.04
2005-01-07,2005-03,2,6.5424,6.5237,-0.0186,-0.2847,119932,21897,6.5239,0.6
2005-01-07,2005-04,3,6.5424,6.5252,-0.0171,-0.262,113066,17214,6.6126,-1.71
2005-01-07,2005-07,6,6.5424,6.5419,-0.0005,-0.0069,187868,16250,6.5069,0.35
2005-01-07,2006-01,12,6.5424,6.5452,0.0028,0.0427,168003,26614,6.5383,0.33
2005-01-10,2005-02,1,6.6436,6.65,0.0065,0.0973,120558,6636,6.6608,0.5
2005-01-10,2005-03,2,6.6436,6.698,0.0544,0.819,82298,7435,6.6208,3.99
2005-01-10,2005-04,3,6.6436,6.6581,0.0145,0.2187,228533,39709,6.6241,-0.31
2005-01-10,2005-07,6,6.6436,6.616,-0.0276,-0.4149,216292,22272,6.6016,-0.67
2005-01-10,2006-01,12,6.6436,6.6863,0.0427,0.6431,156427,13344,6.7032,0.83
2005-01-11,2005-02,1,6.5791,6.5864,0.0073,0.1109,203044,30590,6.6266,-0.95
2005-01-11,2005-03,2,6.5791,6.5616,-0.0175,-0.2653,164786,21968,6.545,-0.33
2005-01-11,2005-04,3,6.5791,6.6081,0.0291,0.4419,209345,49819,6.5563,3.26
2005-01-11,2005-07,6,6.5791,6.6739,0.0949,1.442,104022,11637,6.6309,2.39
2005-01-11,2006-01,12,6.5791,6.7358,0.1567,2.3821,94530,23483,6.8347,2.07
2005-01-12,2005-02,1,6.6216,6.59,-0.0316,-0.4771,234696,31282,6.6425,-1.37
2005-01-12,2005-03,2,6.6216,6.6493,0.0276,0.4174,166048,33248,6.5973,1.54
2005-01-12,2005-04,3,6.6216,6.5797,-0.0419,-0.6324,83300,7627,6.5552,-1.63
2005-01-12,2005-07,6,6.6216,6.5922,-0.0294,-0.4446,125676,13877,6.6075,-1.12
2005-01-12,2006-01,12,6.6216,6.6208,-0.0008,-0.0127,124028,15868,6.6237,0.16
2005-01-13,2005-02,1,6.6176,6.6264,0.0089,0.1338,232260,16346,6.5962,2.22
2005-01-13,2005-03,2,6.6176,6.6099,-0.0076,-0.1156,88531,6132,6.6328,-0.11
2005-01-13,2005-04,3,6.6176,6.6156,-0.002,-0.0303,111603,26390,6.5746,1.71
2005-01-13,2005-07,6,6.6176,6.6339,0.0163,0.2461,193067,22714,6.65,0.66
2005-01-13,2006-01,12,6.6176,6.7655,0.1479,2.2355,80716,10476,6.747,2.21
