Week_Ending,Silver_Price_Close,CFTC_Commercial_Long,CFTC_Commercial_Short,CFTC_Commercial_Net,CFTC_NonCommercial_Long,CFTC_NonCommercial_Short,CFTC_NonCommercial_Net,CFTC_Total_Open_Interest,News_Sentiment_Score,Social_Media_Mentions,Google_Trends_Index,Put_Call_Ratio,Implied_Volatility_30D,ETF_SLV_Flow_Millions,Retail_Bullion_Premium_Pct
06-01-2006,9.0018,56665,62579,-5914,45045,27905,17140,192194,0.4116,209,15,0.7738,40.5,-43.76,7.25
13-01-2006,9.2684,74810,68546,6264,67989,48890,19099,260235,0.4683,98,5,1.5379,17.79,-2.47,11.13
20-01-2006,9.1937,85531,67344,18187,70786,59607,11179,283268,0.2753,222,43,1.2598,32.76,64.94,9.53
27-01-2006,9.16,82633,90489,-7856,52365,46651,5714,272138,0.5143,144,10,1.4707,16.41,-22.05,8.44
03-02-2006,10.3373,97122,102568,-5446,35798,41574,-5776,277062,0.155,156,50,1.3935,28.03,-114.76,6.25
10-02-2006,10.7064,64249,81692,-17443,65527,43743,21784,255211,-0.421,408,11,0.6299,20.87,-17.57,2.57
17-02-2006,10.91,42450,101068,-58618,33778,35945,-2167,213241,-0.1113,238,20,1.5868,32.66,35.23,1.79
24-02-2006,11.1234,61490,114535,-53045,44522,34244,10278,254791,-0.1254,82,25,1.7423,26.63,19.63,3.34
03-03-2006,11.4423,48359,118391,-70032,31425,51984,-20559,250159,-0.08,297,17,1.0658,41.02,-33.25,6.2
10-03-2006,11.6828,94894,81440,13454,59417,17763,41654,253514,-0.0546,123,30,1.7731,43.86,92.58,7.97
17-03-2006,12.031,53135,94708,-41573,52620,32195,20425,232658,0.094,189,54,0.8792,19.49,-27.12,2.61
24-03-2006,12.2477,79925,72749,7176,62046,36539,25507,251259,0.1262,130,15,1.3617,35.74,39.19,3.06
31-03-2006,12.2642,45652,118900,-73248,66964,16221,50743,247737,-0.0023,159,11,0.7593,15.27,135.37,5.29
07-04-2006,12.5037,60044,102160,-42116,79304,39586,39718,281094,-0.0359,152,28,1.3459,37.8,108.82,4.71
14-04-2006,12.3241,69532,78423,-8891,45948,17669,28279,211572,-0.488,145,13,1.3418,19.86,20.66,9.44
21-04-2006,12.407,86037,57956,28081,77531,28637,48894,250161,-0.0436,197,23,1.1076,44.75,-27.71,1.31
28-04-2006,12.5516,94825,78279,16546,57069,28117,28952,258290,-0.2827,191,52,1.594,23.76,57.5,2
05-05-2006,14.6913,79297,67178,12119,68441,18993,49448,233909,0.1546,97,42,1.031,41.62,-30.81,3.93
12-05-2006,14.7648,88811,114220,-25409,76182,40142,36040,319355,0.0784,302,28,1.5081,31.78,-45.66,1.35
19-05-2006,14.7034,40707,90449,-49742,59786,44738,15048,235680,0.3768,255,18,1.7721,27.17,70.06,5.48
26-05-2006,14.6791,71710,106149,-34439,67975,35695,32280,281529,-0.1313,115,10,1.4925,34.5,8.62,1.26
02-06-2006,10.8258,93090,116976,-23886,75569,25719,49850,311354,-0.3784,296,5,1.0503,36.35,-112.59,4.54
09-06-2006,10.8897,91313,102659,-11346,44585,45307,-722,283864,-0.1444,297,47,1.6954,37.89,20.45,1.51
